"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"County","Ada",,"ID","Boise City, ID","Boise City, ID",,8.23050058207218,89.52,,,277500,0.872410032715376,11.6251005631537,-0.00229189189189194,,0.0322523818611547,0.0122894856622667,45
"County","Bay",,"FL","Panama City, FL","Panama City, FL",,6.49592549476135,74.48,,,203100,0.64420218037661,9.78378378378378,0.0623141309699655,,0.111150822015726,0.0284030010718114,77
"County","Bay",,"MI","Bay City, MI","Bay City, MI",,0.110593713620489,,,,85900,-0.116279069767442,4.37424058323208,-0.00371362048894064,,0.175218942588388,0.0233246945575713,59
"County","Gem",,"ID","Boise City, ID","Boise City, ID",,9.80209545983702,,,,220600,0.776610324349018,12.0934959349593,0.00449682683590202,,0.0314432989690722,0,65
"County","Jay",,"IN",,,,5.18044237485448,,,,86600,0.231481481481481,1.16822429906542,0.0605427251732102,,0.0883174958077138,0.0189873417721519,
"County","Kay",,"OK","Ponca City, OK","Ponca City, OK",,6.0419091967404,96,1.3158,0.6111,64400,0.311526479750779,2.87539936102236,0.000559006211180213,,0.132002383790226,0.0338600451467269,101
"County","Lee",,"AL","Auburn, AL","Auburn-Opelika, AL",,0.40162980209546,,,,182300,0.0548847420417124,1.95749440715884,0.0435820076796489,,0.166561954624782,0.0230511316010059,57
"County","Lee",,"FL","Fort Myers, FL","Cape Coral-Fort Myers, FL",,6.71711292200233,90,,,228600,0.0875656742556918,4.33591967138293,0.0146412948381451,,0.0644842495367511,0.0126436781609195,108
"County","Lee",,"GA","Albany, GA","Albany, GA",,0.622817229336438,62.5,,,142900,-0.0699300699300699,1.13234253361642,0.0961721483554934,,0.117951243536075,0.0354906054279749,71
"County","Lee",,"MS","Tupelo, MS","Tupelo, MS",,5.89639115250291,,,,133500,1.21304018195603,9.42622950819672,-0.0192808988764045,,0.0972626674432149,0.0179640718562874,70
"County","Lee",,"NC","Sanford, NC","Sanford, NC",,2.17112922002328,78.43,2.4611,2.6778,120100,0.166805671392827,5.44337137840211,0.0264279766860949,,0.11256330664924,0.0435413642960813,82
"County","Ashe",,"NC",,,,2.56111757857974,50,,,132900,0.30188679245283,5.55996822875298,0.0130850263355906,,0.126490409538621,0.0122950819672131,110
"County","Bibb",,"GA","Macon, GA","Macon-Bibb County, GA",,3.44586728754366,69.23,,,95200,2.80777537796976,22.5225225225225,0.0284873949579831,,0.236502851785296,0.0336967294350842,70
"County","Bond",,"IL","St. Louis, MO","St. Louis, MO-IL",,6.31548311990687,,,,93400,0.322234156820623,8.6046511627907,0.0936616702355459,,0.228028503562945,0.0182291666666667,62
"County","Boyd",,"KY","Huntington, WV","Huntington-Ashland, WV-KY-OH",,1.41443538998836,100,,,90700,-0.657174151150055,1.0022271714922,-0.00587651598676953,,0.171452009844135,0.0203349282296651,145
"County","Cass",,"IN","Logansport, IN","Logansport, IN",,6.87427240977881,,,,80700,2.41116751269036,27.892234548336,-0.00110285006195787,,0.109120521172638,0.0341151385927505,
"County","Cass",,"MI","South Bend, IN","South Bend-Mishawaka, IN-MI",,2.62514551804424,33.33,,,111900,0.72007200720072,8.01158301158301,0.0574173369079536,,0.185822637106184,0.0196232339089482,63.5
"County","Cass",,"MN","Brainerd, MN","Brainerd, MN",,9.12107101280559,97.56,2.3779,,164200,0.489596083231334,4.65264499681326,0.0480389768574909,,0.0891677675033025,0.00740740740740741,107
"County","Cass",,"MO","Kansas City, MO","Kansas City, MO-KS",,9.73806752037253,,,,186200,0.812127774769897,8.82524839275278,0.073780880773362,,0.0508777740973832,0.0104166666666667,55
"County","Cass",,"NE","Omaha, NE","Omaha-Council Bluffs, NE-IA",,4.74388824214203,100,8.3333,,,,,,,0.0670184696569921,0.0393700787401575,62
"County","Clay",,"FL","Jacksonville, FL","Jacksonville, FL",,7.29918509895227,77.54,,,202000,0.597609561752988,12.6603457891801,0.0628316831683169,,0.0902161042036708,0.0176374077112387,65
"County","Clay",,"IA","Spencer, IA","Spencer, IA",,1.0128055878929,,,,120400,0.249791840133222,1.86125211505922,-0.0371262458471761,,0.0716253443526171,0.032051282051282,
"County","Clay",,"KS",,,,3.34691501746217,,,,85800,1.06007067137809,5.79531442663379,-0.0308624708624708,,0.135464231354642,0.0224719101123595,
"County","Clay",,"MN","Fargo, ND","Fargo, ND-MN",,9.68568102444703,100,2.0982,,191200,0.631578947368421,4.02611534276387,0.0655125523012552,,0.048434664246824,0.0117096018735363,76.5
"County","Clay",,"MO","Kansas City, MO","Kansas City, MO-KS",,9.0570430733411,,,,183300,0.825082508250825,8.52575488454707,0.0616584833606111,,0.0485805526917951,0.0175983436853002,52
"County","Clay",,"MS",,,,1.51338766006985,,,,100800,0.598802395209581,3.91752577319588,0.015843253968254,,0.100533130236101,0.0681818181818182,
"County","Clay",,"NC",,,,0.424912689173458,75,,,156300,-0.318877551020408,9.83836964160225,-0.00441458733205369,,0.09375,0.106666666666667,107.5
"County","Cobb",,"GA","Atlanta, GA","Atlanta-Sandy Springs-Roswell, GA",,8.54481955762514,93.36,,,245900,0.449346405228758,10.7158937415579,0.0619438796258642,,0.0747516595263876,0.0187681068144603,50.5
"County","Cole",,"MO","Jefferson City, MO","Jefferson City, MO",,9.39464493597206,,,,154000,0.587851077726976,4.40677966101695,0.0460454545454545,,0.0485188968335036,0.00631578947368421,71
"County","Cook",,"IL","Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI",,1.14086146682189,79.17,,,219200,-0.182149362477231,4.13301662707839,0.0668613138686132,,0.20286230112461,0.0435555143536974,82
"County","Coos",,"NH","Berlin, NH","Berlin, NH-VT",,4.976717112922,93.33,,,113600,1.24777183600713,2.25022502250225,0.027218309859155,,0.12810584059374,0.0503778337531486,176
"County","Coos",,"OR","Coos Bay, OR","Coos Bay, OR",,5.14551804423749,95.89,1.2132,4.7097,192500,0.46972860125261,7.60201229737283,0.0135636363636364,,0.0942293644996348,0.0426356589147287,75
"County","Dade",,"GA","Chattanooga, TN","Chattanooga, TN-GA",,8.74854481955762,100,,,132500,-0.150715900527506,4.66034755134281,0.1048,,0.0760587726879862,0,105.5
"County","Dane",,"WI","Madison, WI","Madison, WI",,9.0221187427241,94.47,1.6107,0.275,268400,0.0372717107715244,5.96131069877615,0.0547093889716841,,0.0389566129243675,0.0117765814266487,62
"County","Dare",,"NC","Kill Devil Hills, NC","Kill Devil Hills, NC",,3.17811408614668,,,,310800,1.13895216400911,7.32044198895028,0.000273487773487791,,0.0905069751616196,0.0300751879699248,60
"County","Door",,"WI",,,,4.51688009313155,,,,174700,0,0.69164265129683,0.0408242701774471,,0.090671544290567,0.0172910662824208,122
"County","Dyer",,"TN","Dyersburg, TN","Dyersburg, TN",,0.209545983701979,,,,75700,-1.81582360570687,2.43572395128552,0.00478203434610314,,0.102919049052061,0.0263157894736842,
"County","Elko",,"NV","Elko, NV","Elko, NV",,0.523864959254948,91.18,8.884,2.4106,233900,-0.594985125371866,1.73988690735102,0.0157973492945704,,0.0614400889630247,0.0497737556561086,70
"County","Erie",,"NY","Buffalo, NY","Buffalo-Cheektowaga-Niagara Falls, NY",,8.29452852153667,,,,161900,0.621504039776259,7.50332005312085,0.0662569487337863,,0.0554102018050908,0.0369692532942899,80
"County","Erie",,"OH","Sandusky, OH","Sandusky, OH",,1.58905704307334,80.77,7.466,1.8189,126800,0.395882818685669,6.3758389261745,0.00122239747634079,,0.132324131789849,0.0309555854643338,75
"County","Erie",,"PA","Erie, PA","Erie, PA",,2.75902211874272,,,,121600,0.0823045267489712,6.57318141980719,0.00168585526315779,,0.0872479205313865,0.039437585733882,89
"County","Ford",,"IL","Champaign-Urbana, IL","Champaign-Urbana, IL",,0.518044237485448,,,,79500,-1.11940298507463,2.71317829457364,-0.00963522012578621,,0.128501827040195,0.033175355450237,101
"County","Ford",,"KS","Dodge City, KS","Dodge City, KS",,9.94761350407451,,,,116600,1.21527777777778,18.8583078491335,0.0566209262435677,,0.0553327987169206,0.0289855072463768,73.5
"County","Gage",,"NE","Beatrice, NE","Beatrice, NE",,8.06169965075669,100,,1.2115,106700,0.187793427230047,8.21501014198783,0.0135145267104031,,0.072463768115942,0.0176470588235294,101.5
"County","Gila",,"AZ","Payson, AZ","Payson, AZ",,4.65075669383003,,,,197900,2.01030927835052,8.61690450054885,-0.00889338049519961,,0.093125634947511,0.0254545454545455,66
"County","Gulf",,"FL","Panama City, FL","Panama City, FL",,5.43655413271246,,,,177600,0.225733634311512,14.4329896907216,0.0432376126126126,,0.100320170757737,0.074468085106383,95
"County","Hall",,"GA","Gainesville, GA","Gainesville, GA",,9.58672875436554,92.31,,,185300,0.542593597395551,10.0356294536817,0.0872045331894225,,0.0600698263905495,0.0143312101910828,67
"County","Hall",,"NE","Grand Island, NE","Grand Island, NE",,9.06868451688009,,,,151800,0.396825396825397,4.18668496911462,0.0584848484848486,,0.0453014998469544,0.0101351351351351,58
"County","Hart",,"GA",,,,8.10826542491269,100,,,150600,0.735785953177257,12.64023934181,0.0606108897742363,,0.115616438356164,0.0521327014218009,87
"County","Hill",,"MT",,,,7.10128055878929,,,,168800,0.29708853238265,-4.14537194775696,0.063122037914692,,0.0557834290401969,0.0147058823529412,
"County","Hill",,"TX",,,,4.76135040745052,100,,,86700,0.813953488372093,4.9636803874092,0.00317185697808542,,,,83
"County","Hoke",,"NC","Fayetteville, NC","Fayetteville, NC",,0.419091967403958,69.23,3.8062,4.3944,152200,0.131578947368421,1.39906728847435,0.0322733245729303,,0.216073991388933,0.0494464944649447,74
"County","Hood",,"TX","Dallas-Fort Worth, TX","Dallas-Fort Worth-Arlington, TX",,1.82770663562282,95.77,,,211500,-0.0944733112895607,4.23854115327748,0.0501229314420804,,,,53
"County","Hunt",,"TX","Dallas-Fort Worth, TX","Dallas-Fort Worth-Arlington, TX",,9.93597206053551,93.48,1.3949,0.4265,108400,1.49812734082397,17.8260869565217,0.102656826568266,,,,56
"County","Inyo",,"CA",,,,9.35972060535506,100,,,344100,0.116380564445738,5.16503667481663,0.0708689334495787,,0.0390455531453362,0,72
"County","Iowa",,"IA",,,,3.11408614668219,100,,,149900,0.0667556742323097,2.81207133058985,0.0420080053368912,,0.0886676149834045,0.0267379679144385,76
"County","Iowa",,"WI","Madison, WI","Madison, WI",,3.78928987194412,,,,156400,0.256410256410256,4.0585495675316,0.0642710997442455,,0.0870463263499557,0.0203389830508475,67.5
"County","Iron",,"UT","Cedar City, UT","Cedar City, UT",,8.0267753201397,,,,211600,0.809909480705098,7.57498729028978,-0.00827032136105865,,0.0721003134796238,0.0253623188405797,84
"County","Juab",,"UT","Provo, UT","Provo-Orem, UT",,4.45285215366706,,,,187200,0.91644204851752,7.09382151029748,0.0157852564102565,,0.0657894736842105,0.04,46
"County","Kane",,"IL","Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI",,1.61816065192084,60.82,,,225500,0.0443655723158829,6.36792452830189,0.0701152993348115,,0.120455183323553,0.0413048083033256,72
"County","Kane",,"UT",,,,8.45750873108265,,,,232000,1.53172866520788,17.7664974619289,-0.0467758620689656,,0.0650684931506849,0.0263157894736842,
"County","Kent",,"DE","Dover, DE","Dover, DE",,0.331781140861467,73.4,9.4032,5.3364,202100,0.597312095569935,5.81151832460733,0.00272637308263235,,0.14159595860513,0.0658122618635262,85
"County","Kent",,"MD",,,,1.89755529685681,66.67,4.5881,1.2002,198700,0.100755667506297,4.30446194225722,0.0423905385002517,,0.144078666096622,0.0652818991097923,150
"County","Kent",,"MI","Grand Rapids, MI","Grand Rapids-Wyoming, MI",,7.43888242142026,95.39,,,184900,0.27114967462039,8.25526932084309,0.0418280151433208,,0.0387697593781754,0.0118886787354769,47
"County","Kent",,"RI","Providence, RI","Providence-Warwick, RI-MA",,2.64260768335274,82.93,8.7979,4.2818,236900,0.253914515446466,9.01978831109066,0.0857956943858167,,0.0713668268732063,0.0586240310077519,68
"County","Kern",,"CA","Bakersfield, CA","Bakersfield, CA",,3.30616996507567,85.38,6.7043,3.3064,209300,0.335570469798658,6.56822810590631,0.0501098901098902,,0.150148836644189,0.0303447159734585,72
"County","King",,"WA","Seattle, WA","Seattle-Tacoma-Bellevue, WA",,8.34109429569267,98.07,3.3045,1.2467,634500,-0.188768286927796,9.18946824987093,0.0572214342001576,,0.0466041890137187,0.00991823137492429,39
"County","Knox",,"IL","Galesburg, IL","Galesburg, IL",,4.08032596041909,100,,,67700,0.445103857566766,2.42057488653555,0.00998522895125564,,0.120391151009939,0.0346205059920107,84
"County","Knox",,"IN","Vincennes, IN","Vincennes, IN",,8.9639115250291,,,,80400,0.878293601003764,11.5117891816921,0.0225248756218905,,0.121659455332146,0.00627615062761506,
"County","Knox",,"ME",,,,3.9639115250291,,,,222200,0.406687754179846,6.2649450023912,0.0191674167416742,,0.0494717856222623,0.09375,108
"County","Knox",,"OH","Mount Vernon, OH","Mount Vernon, OH",,5.034924330617,96.55,5.7865,1.1972,138900,0.361271676300578,3.27137546468401,0.0619726421886249,,0.0816259087904825,0.0202429149797571,52
"County","Knox",,"TN","Knoxville, TN","Knoxville, TN",,7.14202561117579,,,,174200,0.577367205542725,7.73036487322202,0.0436739380022961,,0.0805631664080811,0.017619340299119,56.5
"County","Lake",,"CA","Clearlake, CA","Clearlake, CA",,8.57974388824214,,,,244000,0.909842845326716,9.90990990990991,0.00494672131147533,,0.0853451207072424,0.0278884462151394,102
"County","Lake",,"CO",,,,9.88358556461001,100,,,232400,0.693240901213172,7.79220779220779,0.0627538726333907,,0.0795262267343486,0,102
"County","Lake",,"FL","Orlando, FL","Orlando-Kissimmee-Sanford, FL",,8.44004656577416,82.76,,,207600,0.484027105517909,9.78318350079323,0.0620134874759153,,0.0705461970393058,0.0209840810419682,78
"County","Lake",,"IL","Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI",,0.937136204889406,68.69,,,235600,-0.169491525423729,3.33333333333333,0.0691850594227503,,0.139766840661245,0.0439373538374318,82
"County","Lake",,"IN","Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI",,3.42840512223516,100,,4.561,139800,0.286944045911047,4.09530900967982,0.134463519313305,,0.0895240362440672,0.0550108027256108,69
"County","Lake",,"MN",,,,4.24330616996508,87.5,,,165900,-0.599161174355902,4.01253918495298,0.0411874623267028,,0.0878205128205128,0.0145985401459854,100
"County","Lake",,"MT",,,,6.21653084982538,100,,,262100,0.846479415159677,7.41803278688525,0.00914154902708897,,0.0467571644042232,0.0483870967741935,83
"County","Lake",,"OH","Cleveland, OH","Cleveland-Elyria, OH",,1.28637951105937,,,,145200,0.0689179875947622,5.44662309368192,0.0456749311294766,,0.11080894215257,0.0451331114808652,64
"County","Lane",,"OR","Eugene, OR","Eugene, OR",,7.32828870779977,96.09,3.735,3.6931,282400,0.641482537419815,9.16119056822574,0.033243626062323,,0.0543531996704202,0.0141485598787266,53
"County","Leon",,"FL","Tallahassee, FL","Tallahassee, FL",,3.40512223515716,78.29,,,175000,0.459242250287026,4.79041916167665,0.0549599999999999,,0.128646084281531,0.0319792566983578,67
"County","Linn",,"IA","Cedar Rapids, IA","Cedar Rapids, IA",,1.89173457508731,,,,142600,0.281293952180028,1.27840909090909,0.0184151472650771,,0.0617273449018941,0.0266421681212678,61
"County","Linn",,"KS","Kansas City, MO","Kansas City, MO-KS",,1.83934807916182,,,,70800,0.28328611898017,5.20059435364042,0.0452118644067796,,0.260869565217391,0.0208333333333333,52
"County","Linn",,"OR","Albany, OR","Albany, OR",,6.9790454016298,99.03,5.0292,4.5191,239400,0.377358490566038,12.0786516853933,0.0813617376775271,,0.0404575658171419,0.0228690228690229,53
"County","Long",,"GA","Hinesville, GA","Hinesville, GA",,1.90337601862631,100,,,154200,-0.772200772200772,5.83390528483185,0.0576070038910506,,0.246679316888046,0.0384615384615385,74.5
"County","Luna",,"NM","Deming, NM","Deming, NM",,5.93713620488941,,,,96000,0.734522560335782,16.9305724725944,0.0029583333333334,,0.114673242909988,0.032258064516129,
"County","Lyon",,"KS","Emporia, KS","Emporia, KS",,3.72526193247963,,,,90700,0.554323725055432,2.83446712018141,-0.00798235942668135,,0.0624761904761905,0.048780487804878,69
"County","Lyon",,"MN","Marshall, MN","Marshall, MN",,2.36321303841676,,,,128100,-0.155884645362432,-1.00463678516229,0.0580327868852459,,0.0846734492943879,0.0271317829457364,72
"County","Lyon",,"NV","Fernley, NV","Fernley, NV",,9.89522700814901,,,,251100,0.965018094089264,14.7099132023755,0.131509358821187,,0.0641730839750642,0.0285714285714286,63
"County","Maui",,"HI","Kahului, HI","Kahului-Wailuku-Lahaina, HI",,7.68335273573923,76.74,3.4535,0.3585,619600,0.502838605028386,8.11376723084976,0.0227550032278889,,0.0417138737254094,0.0395061728395062,103
"County","Mesa",,"CO","Grand Junction, CO","Grand Junction, CO",,6.78696158323632,83.77,2.7742,3.8932,228300,0.219490781387182,10.0240963855422,0.0605343845816908,,0.0699507389162562,0.022238695329874,59
"County","Napa",,"CA","Napa, CA","Napa, CA",,9.38882421420256,96.83,1.9921,0.4341,661100,0.410085054678007,5.47223994894703,0.0506973226440781,,0.0328212763077756,0.0185567010309278,54
"County","Nash",,"NC","Rocky Mount, NC","Rocky Mount, NC",,0.50058207217695,75,5.5864,1.5147,,,,,,0.0998619997490905,0.042713567839196,73
"County","Ohio",,"WV","Wheeling, OH","Wheeling, WV-OH",,5.57043073341094,,,,105000,0.382409177820268,6.81586978636826,-0.0171904761904762,,0.14803006148941,0.00923076923076923,99
"County","Otoe",,"NE",,,,6.0186263096624,,,,140700,0.285103349964362,5.94879518072289,0.0250106609808103,,0.0801411290322581,0.0125786163522013,72.5
"County","Owen",,"IN","Bloomington, IN","Bloomington, IN",,7.35157159487776,,,,104500,0.77145612343298,18.4807256235828,-0.00144497607655503,,0.10229799851742,0.0289855072463768,81
"County","Owen",,"KY",,,,4.60419091967404,50,,,136300,0.442151805453206,35.3525322740814,0.100447542186354,,0.173611111111111,0.04,
"County","Page",,"IA",,,,1.81024447031432,100,,,81200,-0.368098159509202,5.04527813712807,0.0262931034482758,,0.129335260115607,0.0335195530726257,82
"County","Page",,"VA",,,,3.09080325960419,,,,151700,0.86436170212766,5.27411519777932,0.0211008569545155,,0.144046627810158,0.0202312138728324,83
"County","Park",,"CO","Denver, CO","Denver-Aurora-Lakewood, CO",,9.81373690337602,97.67,0.8929,,328500,0.520195838433293,12.2693096377307,0.0679543378995433,,0.048469387755102,0,62
"County","Park",,"MT",,,,9.65657741559953,,,,222200,1.04592996816735,11.8831822759315,-0.0201890189018902,,0.0513833992094862,0,
"County","Park",,"WY",,,,8.92898719441211,,,,251400,0.479616306954436,8.17555938037866,-0.0248369132856007,,0.0432641575800211,0,86
"County","Pike",,"AL","Troy, AL","Troy, AL",,2.9511059371362,,,,125400,-0.476190476190476,1.62074554294976,0.0333492822966508,,0.136266094420601,0.0078740157480315,97
"County","Pike",,"GA","Atlanta, GA","Atlanta-Sandy Springs-Roswell, GA",,9.80791618160652,,,,173700,0.579038795599305,13.826998689384,0.0928151986183074,,0.0839813374805599,0.0185185185185185,77
"County","Pike",,"IN","Jasper, IN","Jasper, IN",,3.18975552968568,,,,73400,0.273224043715847,11.890243902439,0.127656675749319,,0.196063588190765,0.0386100386100386,51
"County","Pike",,"MO",,,,7.84051222351572,,,,132900,1.29573170731707,38.006230529595,-0.152490594431904,,0.163064833005894,0,
"County","Pike",,"MS","McComb, MS","McComb, MS",,9.13853317811409,,,,112500,0.896860986547085,6.63507109004739,0.0523377777777778,,0.0994182971972501,0.0265957446808511,141.5
"County","Pike",,"PA","New York, NY","New York-Newark-Jersey City, NY-NJ-PA",,0.20372526193248,,,,143800,0.841514726507714,4.0520984081042,,,0.232164746261339,0.0633579725448786,73
"County","Pima",,"AZ","Tucson, AZ","Tucson, AZ",,3.9871944121071,83.06,5.4307,1.5389,197200,0.407331975560081,7.64192139737991,0.00530933062880323,,0.107373529013932,0.0237776553027321,64
"County","Pitt",,"NC","Greenville, NC","Greenville, NC",,0.512223515715949,75.93,4.1383,2.5539,,,,,,0.121346205417002,0.0386740331491713,72
"County","Polk",,"AR",,,,0.174621653084983,,,,90600,-0.220264317180617,4.73988439306358,-0.0104525386313465,,0.196358907672302,0.0198675496688742,
"County","Polk",,"FL","Lakeland, FL","Lakeland-Winter Haven, FL",,8.56810244470314,73.95,,,170500,1.12692763938316,9.15492957746479,0.0676891495601173,,0.0858060266754487,0.0201496833621186,76
"County","Polk",,"GA","Cedartown, GA","Cedartown, GA",,7.42142025611176,,,,90100,0.445930880713489,9.21212121212121,0.0637402885682574,,0.208147676639083,0.0244648318042813,83
"County","Polk",,"IA","Des Moines, IA","Des Moines-West Des Moines, IA",,7.80558789289872,90,1.8692,0.8295,181800,0.33112582781457,7.25663716814159,0.0286743674367436,,0.0466479235729372,0.0275862068965517,63
"County","Polk",,"NC",,,,4.71478463329453,,,,208600,0.14402304368699,4.56140350877193,0.0306855225311602,,0.0762554246745195,0.00813008130081301,80
"County","Polk",,"OR","Salem, OR","Salem, OR",,7.60186263096624,96.83,3.9279,6.0312,296400,1.05693828844187,11.8490566037736,0.0482287449392713,,0.0354859335038363,0.018018018018018,55
"County","Polk",,"TN","Cleveland, TN","Cleveland, TN",,9.32479627473807,100,,1.1265,96800,0.72840790842872,14.0164899882214,0.0680991735537191,,0.127555988315482,0.0305343511450382,146.5
"County","Polk",,"WI",,,,3.34109429569267,,,,172600,0.994733762434172,8.55345911949686,-0.00307068366164542,,0.103896103896104,0.0256024096385542,57
"County","Pope",,"AR","Russellville, AR","Russellville, AR",,6.88591385331781,,,,113000,0,10.8930323846909,0.039212389380531,,0.118080576482149,0.0152565880721221,85
"County","Reno",,"KS","Hutchinson, KS","Hutchinson, KS",,4.32479627473807,,,,89900,0.334821428571429,1.35287485907554,0.0344493882091212,,0.0856967652920435,0.0286225402504472,65
"County","Rhea",,"TN","Dayton, TN","Dayton, TN",,2.60768335273574,70.59,,,105300,-0.378429517502365,1.64092664092664,0.111861348528015,,0.13491020586947,0.012987012987013,90
"County","Rice",,"KS",,,,4.58672875436554,,,,53100,0.950570342205323,1.72413793103448,0.00269303201506599,,0.12937595129376,0,
"County","Rice",,"MN","Faribault, MN","Faribault-Northfield, MN",,4.27823050058207,,,,218800,0.137299771167048,7.67716535433071,0.0655667276051188,,0.081918505942275,0.0362694300518135,62
"County","Ross",,"OH","Chillicothe, OH","Chillicothe, OH",,3.27706635622817,72.73,9.0851,0.8657,113300,0.532386867790595,10.64453125,-0.00712268314210063,,0.16218922075755,0.0195473251028807,73
"County","Rush",,"IN",,,,4.67986030267753,,,,97500,0.205549845837616,5.17799352750809,0.0292820512820513,,0.0718840579710145,0.0241935483870968,
"County","Rush",,"KS",,,,5.46565774155995,,,,45700,-0.218340611353712,-13.9359698681733,0.0442669584245077,,0,0,
"County","Rusk",,"TX","Longview, TX","Longview, TX",,7.13620488940629,100,,,124100,0,1.14099429502853,0.0722804190169217,,,,146
"County","Sauk",,"WI","Baraboo, WI","Baraboo, WI",,3.24796274738068,,,,173000,-0.46029919447641,5.93998775260257,0.0374971098265895,,0.0868340163934426,0.0176991150442478,75
"County","Tift",,"GA","Tifton, GA","Tifton, GA",,0.570430733410943,100,,,122300,-0.48820179007323,3.90824129141886,0.0230580539656582,,0.133445945945946,0.0316455696202532,71
"County","Todd",,"MN",,,,9.62747380675204,90.91,,,114600,0.969162995594714,11.9140625,0.0634293193717277,,0.143874643874644,0.0099009900990099,109
"County","Utah",,"UT","Provo, UT","Provo-Orem, UT",,9.44703143189756,,,,325800,0.773275595422208,11.9203023016146,0.0467710251688152,,0.0554740414684392,0.00614480363344911,46
"County","Vigo",,"IN","Terre Haute, IN","Terre Haute, IN",,1.0011641443539,,,,84100,0.119047619047619,4.47204968944099,0.00514863258026166,,0.0896363051174767,0.0287253141831239,63.5
"County","Wake",,"NC","Raleigh, NC","Raleigh, NC",,9.22002328288708,94.69,1.9015,0.2373,282000,0.391598433606266,5.34180052297348,0.0477943262411347,,0.0557930368177048,0.0153232839167809,54
"County","Ward",,"ND","Minot, ND","Minot, ND",,1.26309662398137,,,,222700,-0.402504472271914,-0.357941834451902,0.00727436012572968,,0.0602234799013206,0.0337349397590361,71.5
"County","Ware",,"GA","Waycross, GA","Waycross, GA",,0.314318975552969,80,,,72900,-3.95256916996047,-2.92942743009321,0.0374622770919066,,0.133848899464604,0.0533333333333333,106
"County","Webb",,"TX","Laredo, TX","Laredo, TX",,6.22817229336438,100,,,138500,0.217076700434153,6.62047729022325,0.00115523465703982,,,,85
"County","Weld",,"CO","Greeley, CO","Greeley, CO",,9.48777648428405,97.99,1.7445,,315400,0.445859872611465,10.2411744145404,0.0387349397590362,,0.0395381088500835,0.00357909806728704,48
"County","Will",,"IL","Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI",,0.972060535506403,75.54,,,217100,0.0460829493087558,4.52575830524795,0.0750069092584063,,0.112145785065051,0.0594358363130711,71
"County","Wise",,"TX","Dallas-Fort Worth, TX","Dallas-Fort Worth-Arlington, TX",,9.85448195576251,100,,,204200,1.03908955962395,12.3830489818382,0.125078354554359,,,,57
"County","Wood",,"OH","Toledo, OH","Toledo, OH",,2.82305005820722,91.67,3.68,2.2994,138800,-0.358937544867193,3.12035661218425,0.0404106628242076,,0.102165761077524,0.0209737827715356,63
"County","Wood",,"WI","Wisconsin Rapids-Marshfield, WI","Wisconsin Rapids-Marshfield, WI",,4.94179278230501,85.71,2.7027,0.7961,113300,0.354295837023915,6.58513640639699,0.0209002647837599,,0.095097037793667,0.0182599355531686,67
"County","Wood",,"WV","Parkersburg, WV","Parkersburg-Vienna, WV",,3.07334109429569,,,,100500,-0.198609731876862,0.600600600600601,0.0310547263681593,,0.116508356378502,0.0113519091847265,86
"County","Yolo",,"CA","Sacramento, CA","Sacramento--Roseville--Arden-Arcade, CA",,8.80675203725262,95.74,2.5252,0.4685,425000,0.520340586565752,5.04201680672269,0.0458541176470588,,0.051525571748267,0.0116525423728814,44
"County","York",,"ME","Portland, ME","Portland-South Portland, ME",,5.35506402793946,,,,282500,0.462304409672831,9.79401476875243,0.0386867256637169,,0.0400184523123054,0.0931796349663785,69
"County","York",,"PA","York, PA","York-Hanover, PA",,0.9953434225844,75.5,7.5908,4.1472,175100,0.228963938179737,5.10204081632653,0.0541747572815534,,0.0898662637793073,0.0513698630136986,70
"County","York",,"SC","Charlotte, NC","Charlotte-Concord-Gastonia, NC-SC",,3.79511059371362,93.95,5.0392,0.6579,180600,-0.220994475138122,5,0.0245238095238096,,0.0661560240659285,0.0328620557890715,60
"County","York",,"VA","Virginia Beach, VA","Virginia Beach-Norfolk-Newport News, VA-NC",,5.9778812572759,78.79,0.9642,1.8516,296500,0.474415452389021,3.92569225376796,0.0344890387858348,,0.111057506754149,0.0156385751520417,75
"County","Yuba",,"CA","Yuba City, CA","Yuba City, CA",,3.69615832363213,88.89,7.7004,3.1225,252500,0.0792707094728498,10.5516637478109,0.0384752475247525,,0.0825136612021858,0.0231788079470199,52
"County","Yuma",,"AZ","Yuma, AZ","Yuma, AZ",,3.33527357392317,73.53,8.1713,1.7191,143200,0.70323488045007,5.21675238795004,0.0295530726256983,,0.163550057537399,0.025065963060686,100
"County","Adair",,"MO","Kirksville, MO","Kirksville, MO",,7.13038416763679,,,,109700,0.365965233302836,28.3040935672515,-0.0449498632634457,,0.106157112526539,0.01,
"County","Adams",,"CO","Denver, CO","Denver-Aurora-Lakewood, CO",,9.62165308498254,97.75,1.8899,,331500,0.393700787401575,9.62301587301587,0.0691613876319759,,0.0496510714340733,0.00434377908780639,45
